iter	Passed	Remaining
0	1	110
1	1	92
2	2	78
3	2	70
4	3	65
5	3	61
6	4	58
7	4	56
8	5	54
9	5	52
10	6	51
11	6	49
12	7	48
13	7	47
14	8	47
15	8	47
16	9	47
17	10	47
18	10	46
19	11	45
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	15	38
29	16	37
30	16	37
31	17	36
32	17	35
33	18	35
34	18	34
35	19	33
36	19	33
37	19	32
38	20	32
39	21	31
40	21	31
41	22	31
42	23	31
43	24	30
44	25	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
